ZipsServed,SCF,City,Zip,Sac,Den,Atl,Bal
14,CENTRAL MA,SHREWSBURY,01546-0001,8,7,5,
15,CENTRAL MA,SHREWSBURY,01546-0001,8,7,5,
16,CENTRAL MA,SHREWSBURY,01546-0001,8,7,5,
17,CENTRAL MA,SHREWSBURY,01546-0001,8,7,5,
18,MIDDLESEX ESSEX,NORTH READING,01889-7001,8,7,5,
19,MIDDLESEX ESSEX,NORTH READING,01889-7001,8,7,5,
20,BROCKTON,BROCKTON,02301-5571,8,7,5,
21,BOSTON,BOSTON,02205-0002,8,7,5,
22,BOSTON,BOSTON,02205-0002,8,7,5,
23,BROCKTON,BROCKTON,02301-5571,8,7,5,
24,NORTHWEST BOSTON,WALTHAM,02451-0099,8,7,5,
25,CAPE COD,WAREHAM,02571-9701,8,7,5,
26,CAPE COD,WAREHAM,02571-9701,8,7,5,
27,PROVIDENCE,PROVIDENCE,02904-2477,8,7,5,
28,PROVIDENCE,PROVIDENCE,02904-2477,8,7,5,
29,PROVIDENCE,PROVIDENCE,02904-2477,8,7,5,
30,MANCHESTER,MANCHESTER,03103-9997,8,7,5,
31,MANCHESTER,MANCHESTER,03103-9997,8,7,5,
32,MANCHESTER,MANCHESTER,03103-9997,8,7,5,
33,MANCHESTER,MANCHESTER,03103-9997,8,7,5,
34,MANCHESTER,MANCHESTER,03103-9997,8,7,5,
35,WHITE RIVER JUNCTION,WHITE RIVER JUNCTION,05001-9997,8,7,5,
36,WHITE RIVER JUNCTION,WHITE RIVER JUNCTION,05001-9997,8,7,5,
37,WHITE RIVER JUNCTION,WHITE RIVER JUNCTION,05001-9997,8,7,5,
38,PORTSMOUTH,PORTSMOUTH,03801-9995,8,7,5,
39,PORTSMOUTH,PORTSMOUTH,03801-9995,8,7,5,
40,SOUTHERN  MAINE,SCARBOROUGH,04074-7001,8,7,5,
41,SOUTHERN  MAINE,SCARBOROUGH,04074-7001,8,7,5,
42,SOUTHERN  MAINE,SCARBOROUGH,04074-7001,8,7,5,
43,SOUTHERN  MAINE,SCARBOROUGH,04074-7001,8,7,5,
44,BANGOR,HAMPDEN,04444-7099,8,8,6,
45,SOUTHERN  MAINE,SCARBOROUGH,04074-7001,8,7,5,
46,BANGOR,HAMPDEN,04444-7099,8,8,6,
47,BANGOR,HAMPDEN,04444-7099,8,8,6,
48,SOUTHERN  MAINE,SCARBOROUGH,04074-7001,8,7,5,
49,BANGOR,HAMPDEN,04444-7099,8,8,6,
50,WHITE RIVER JUNCTION,WHITE RIVER JUNCTION,05001-9997,8,7,5,
51,WHITE RIVER JUNCTION,WHITE RIVER JUNCTION,05001-9997,8,7,5,
52,WHITE RIVER JUNCTION,WHITE RIVER JUNCTION,05001-9997,8,7,5,
53,WHITE RIVER JUNCTION,WHITE RIVER JUNCTION,05001-9997,8,7,5,
54,BURLINGTON,ESSEX JUNCTION,05452-9997,8,7,5,
